bookingdate;FULL_CANCELLATION;NEW_BOOKING;PARTIAL_ADDITION;PARTIAL_CANCELLATION;TOTAL_BOOKINGS
2015-11-01;0.07646254865258341;0.39043883887452835;0.15103841697120957;0.3820601955016787;1
2015-11-02;0.08177014189410528;0.5211289460526543;0.14954483543387184;0.24755607661936863;1
2015-11-03;0.06695915404589732;0.5356045375234135;0.14971812215775085;0.24771818627293835;1
2015-11-04;0.05684533576139657;0.5281361071182618;0.14912714516151396;0.2658914119588277;1
2015-11-05;0.05120038648553139;0.4929882399252079;0.14919057225803278;0.30662080133122793;1
2015-11-06;0.055048303898266454;0.4689687571223249;0.1532701064685827;0.32271283251082594;1
2015-11-07;0.04226487665963978;0.28191131328821334;0.25398128629017347;0.42184252376197345;1
2015-11-08;0.07038337312175257;0.40404437578991714;0.15156579132144363;0.3740064597668867;1
2015-11-09;0.07629743108233879;0.5294078887763254;0.14958859430209287;0.24470608583924292;1
2015-11-10;0.07022439763013566;0.5224749764510137;0.15205602457897935;0.2552446013398713;1
2015-11-11;0.06149199293326495;0.48951071091607934;0.15355584683674955;0.29544144931390615;1
2015-11-12;0.052009155645981686;0.4964526256708878;0.15096292138772932;0.3005752972954011;1
2015-11-13;0.06044374390553411;0.44743063996901006;0.16449603497945137;0.3276295811460045;1
2015-11-14;0.1325663512819707;0.3007994635316799;0.15822672073261454;0.4084074644537348;1
2015-11-15;0.11062043397666557;0.2909579108058009;0.1766301384799913;0.4217915167375422;1
2015-11-16;0.13536157582298974;0.4483225400251844;0.14671703543802841;0.26959884871379747;1
2015-11-17;0.10408062762383527;0.4533207210457797;0.17036827554597714;0.2722303757844079;1
2015-11-18;0.08527481414662975;0.44136676101900524;0.17803042085290366;0.2953280039814613;1
2015-11-19;0.07807355039760379;0.4245662160322319;0.16895513657702724;0.32840509699313714;1
2015-11-20;0.08426556170186514;0.4067480310103025;0.17183676407082193;0.3371496432170104;1
2015-11-21;0.07665327000365363;0.34377055169894044;0.17360857386432835;0.40596760443307756;1
2015-11-22;0.08194121021902737;0.3520805912726536;0.16798285579291958;0.39799534271539944;1
2015-11-23;0.09082721940363252;0.4651458855925011;0.1763640821561268;0.2676628128477396;1
2015-11-24;0.08649688389628375;0.48151624733912957;0.16592546998025184;0.2660613987843348;1
2015-11-25;0.07104068369981305;0.4582715842501872;0.17528186383607125;0.2954058682139285;1
2015-11-26;0.044953600621647063;0.31166036551652;0.26444656973355846;0.3789394641282745;1
2015-11-27;0.05581846808967454;0.3444382816553649;0.2309271617970693;0.36881608845789127;1
2015-11-28;0.06391166903376552;0.35080405002977966;0.18749713657396802;0.39778714436248686;1
