bookingdate;FULL_CANCELLATION;NEW_BOOKING;PARTIAL_ADDITION;PARTIAL_CANCELLATION;TOTAL_BOOKINGS
2014-11-02;0.07912502191828862;0.38584955286691214;0.15363259103395874;0.38139283418084047;1
2014-11-03;0.08892795148425656;0.5407615741249369;0.13449495726307925;0.23581551712772736;1
2014-11-04;0.07404233052453041;0.5141237076198553;0.15573970155717146;0.25609426029844284;1
2014-11-05;0.05951107161640159;0.5031011407119929;0.15689323733700877;0.28049455033459675;1
2014-11-06;0.051752772867530175;0.4869872254404752;0.14738609091354352;0.3138739107784511;1
2014-11-07;0.057279355160077886;0.4616492324412444;0.15193587827740795;0.3291355341212698;1
2014-11-08;0.06479795302090777;0.42107143680413084;0.12490491228879003;0.38922569788617134;1
2014-11-09;0.08372900799847041;0.40949937860488833;0.12286096682706096;0.3839106465695803;1
2014-11-10;0.08677885060879556;0.531996515873163;0.1318593747104283;0.24936525880761318;1
2014-11-11;0.08300374955056757;0.5086098412861472;0.13399506908418513;0.2743913400791001;1
2014-11-12;0.06598235795053486;0.5266702794766587;0.1494473766900892;0.25789998588271723;1
2014-11-13;0.05654236422812653;0.48263949456487054;0.15227296900593504;0.30854517220106786;1
2014-11-14;0.06494730327807366;0.4709042832495687;0.14601774060460582;0.3181306728677519;1
2014-11-15;0.06976068773234201;0.42113150557620815;0.1212825278810409;0.3878252788104089;1
2014-11-16;0.05563525028904209;0.28137712499464734;0.24425127392626214;0.4187363507900484;1
2014-11-17;0.08050392144753905;0.5149509047119125;0.1524774079334692;0.2520677659070792;1
2014-11-18;0.07397134255129349;0.5232632694023194;0.1457032411537318;0.2570621468926554;1
2014-11-19;0.06237804494240574;0.5150703768441541;0.14773569101006628;0.27481588720337385;1
2014-11-20;0.053479541823744245;0.4635481958517942;0.15931626561913081;0.32365599670533074;1
2014-11-21;0.06153485853130169;0.46111623413691655;0.14842625526329914;0.32892265206848265;1
2014-11-22;0.06052327818391689;0.33136783378222395;0.19848018468641784;0.40962870334744134;1
2014-11-23;0.05927556879506109;0.2696218106462893;0.24966541466994777;0.4214372058887018;1
2014-11-24;0.08515942208663387;0.5137371760528145;0.14825523473856195;0.25284816712198965;1
2014-11-25;0.07341749810525441;0.5067536000166115;0.1579802531172458;0.2618486487608883;1
2014-11-26;0.06371123913433864;0.4910817854872136;0.1649930352991424;0.2802139400793054;1
2014-11-27;0.05367355327590521;0.4300228759338028;0.1852771919791257;0.3310263788111663;1
2014-11-28;0.06397080110839985;0.4510784151536457;0.1552225071342901;0.3297282766036643;1
2014-11-29;0.07192783602531407;0.41011381883441955;0.13446916029092282;0.3834891848493435;1
